feature,importance
payment_value,5743
customer_city,4381
estimated_discount_value,4261
customer_state,2436
delivery_days,1560
discount_amount_pct,1316
duration_x_cart,1062
avg_time_per_page,872
cart_additions,850
discount_per_page,633
cart_efficiency,617
engagement_x_discount,609
cart_per_page,596
session_intensity,545
session_duration_seconds,530
pages_x_discount,487
engagement_score,406
duration_per_cart,363
referral_channel,306
discount_level,285
pages_viewed,240
delivery_speed,191
cart_abandon_score,165
device_type,147
cart_x_discount,147
add_to_cart_ratio,103
has_high_discount,95
coupon_applied,94
pages_per_cart,40
order_status,27
has_coupon,6
is_high_value_session,3
is_high_engagement,0
