iter	Passed	Remaining
0	99	59576
1	199	59685
2	305	60869
3	406	60642
4	500	59615
5	591	58604
6	696	59004
7	786	58180
8	885	58138
9	982	57979
10	1077	57688
11	1172	57428
12	1269	57306
13	1361	56999
14	1455	56769
15	1548	56509
16	1636	56109
17	1726	55837
18	1826	55857
19	1926	55867
20	2018	55662
21	2105	55315
22	2195	55083
23	2288	54931
24	2382	54803
25	2473	54613
26	2568	54501
27	2659	54335
28	2754	54231
29	2846	54077
30	2935	53889
31	3028	53764
32	3123	53666
33	3212	53472
34	3302	53316
35	3394	53181
36	3483	53012
37	3574	52871
38	3665	52721
39	3759	52634
40	3853	52544
41	3942	52384
42	4035	52274
43	4126	52140
44	4217	52017
45	4307	51876
46	4405	51838
47	4496	51710
48	4592	51638
49	4682	51504
50	4773	51381
51	4864	51259
52	4953	51123
53	5055	51121
54	5146	50994
55	5245	50960
56	5340	50873
57	5431	50757
58	5525	50670
59	5614	50527
60	5713	50485
61	5807	50395
62	5903	50320
63	5997	50229
64	6091	50139
65	6184	50039
66	6283	49987
67	6376	49889
68	6470	49792
69	6570	49750
70	6666	49671
71	6754	49535
72	6848	49444
73	6939	49325
74	7031	49217
75	7125	49126
76	7224	49069
77	7312	48939
78	7404	48832
79	7500	48755
80	7600	48699
81	7693	48603
82	7789	48520
83	7889	48461
84	7979	48348
85	8078	48280
86	8176	48212
87	8267	48099
88	8368	48050
89	8461	47948
90	8556	47858
91	8655	47791
92	8745	47674
93	8838	47579
94	8938	47513
95	9024	47377
96	9122	47306
97	9213	47193
98	9299	47063
99	9385	46929
100	9483	46852
101	9578	46764
102	9678	46699
103	9782	46654
104	9881	46585
105	9983	46528
106	10085	46469
107	10188	46412
108	10282	46319
109	10375	46216
110	10476	46151
111	10570	46058
112	10662	45953
113	10755	45850
114	10848	45753
115	10942	45656
116	11035	45557
117	11129	45461
118	11236	45419
119	11332	45328
120	11427	45236
121	11522	45145
122	11615	45045
123	11716	44975
124	11816	44903
125	11919	44838
126	12012	44739
127	12106	44643
128	12208	44574
129	12304	44484
130	12406	44415
131	12498	44313
132	12591	44210
133	12682	44105
134	12778	44014
135	12874	43923
136	12968	43829
137	13057	43715
138	13154	43626
139	13251	43541
140	13352	43467
141	13443	43360
142	13548	43298
143	13644	43207
144	13744	43130
145	13832	43013
146	13923	42907
147	14021	42820
148	14118	42733
149	14206	42620
150	14306	42541
151	14401	42445
152	14499	42360
153	14600	42285
154	14707	42224
155	14807	42145
156	14909	42068
157	15010	41992
158	15116	41928
159	15219	41852
160	15331	41805
161	15424	41702
162	15513	41591
163	15610	41502
164	15714	41430
165	15808	41331
166	15901	41230
167	16002	41149
168	16095	41048
169	16192	40957
170	16286	40859
171	16377	40754
172	16472	40658
173	16565	40557
174	16664	40471
175	16775	40413
176	16868	40312
177	16952	40191
178	17046	40092
179	17148	40013
180	17236	39900
181	17329	39801
182	17417	39689
183	17513	39595
184	17610	39505
185	17710	39419
186	17811	39338
187	17902	39232
188	17997	39136
189	18093	39042
190	18193	38959
191	18288	38862
192	18377	38754
193	18467	38647
194	18563	38555
195	18651	38444
196	18709	38274
197	18787	38144
198	18872	38029
199	18961	37922
200	19060	37837
201	19145	37722
202	19236	37619
203	19325	37513
204	19417	37413
205	19510	37315
206	19595	37202
207	19615	36967
208	19705	36865
209	19726	36635
210	19765	36439
211	19849	36328
212	19869	36100
213	19974	36028
214	20069	35938
215	20159	35839
216	20254	35749
217	20343	35647
218	20446	35571
219	20538	35476
220	20627	35375
221	20658	35174
222	20752	35083
223	20846	34992
224	20942	34904
225	21049	34834
226	21138	34734
227	21226	34631
228	21252	34430
229	21335	34321
230	21427	34228
231	21514	34126
232	21596	34016
233	21696	33936
234	21773	33818
235	21863	33721
236	21958	33632
237	22061	33555
238	22157	33467
239	22244	33366
240	22300	33218
241	22324	33025
242	22404	32915
243	22429	32724
244	22516	32625
245	22606	32531
246	22696	32436
247	22788	32345
248	22877	32249
249	22971	32160
250	23069	32076
251	23158	31981
252	23246	31883
253	23339	31793
254	23429	31698
255	23452	31514
256	23554	31436
257	23577	31253
258	23674	31170
259	23759	31069
260	23852	30981
261	23945	30891
262	24048	30814
263	24147	30733
264	24248	30653
265	24330	30550
266	24429	30468
267	24521	30377
268	24556	30216
269	24651	30129
270	24675	29956
271	24770	29870
272	24793	29697
273	24890	29613
274	24981	29523
275	25079	29441
276	25172	29353
277	25269	29268
278	25375	29195
279	25470	29109
280	25560	29016
281	25651	28925
282	25746	28839
283	25818	28727
284	25905	28632
285	26002	28547
286	26025	28383
287	26045	28216
288	26097	28084
289	26188	27994
290	26258	27882
291	26365	27810
292	26453	27717
293	26501	27582
294	26587	27488
295	26685	27406
296	26718	27258
297	26773	27132
298	26798	26977
299	26893	26893
300	26923	26744
301	27017	26659
302	27116	26579
303	27219	26503
304	27244	26350
305	27335	26263
306	27423	26172
307	27504	26075
308	27594	25987
309	27688	25902
310	27781	25816
311	27883	25739
312	27979	25655
313	28004	25507
314	28105	25429
315	28144	25294
316	28232	25204
317	28313	25108
318	28406	25022
319	28495	24933
320	28589	24849
321	28674	24756
322	28780	24681
323	28870	24593
324	28962	24506
325	29057	24422
326	29140	24327
327	29233	24242
328	29314	24146
329	29400	24054
330	29491	23967
331	29606	23899
332	29698	23812
333	29796	23730
334	29881	23637
335	29973	23550
336	30066	23464
337	30155	23375
338	30249	23289
339	30348	23207
340	30441	23121
341	30535	23035
342	30627	22948
343	30726	22866
344	30761	22736
345	30855	22650
346	30947	22564
347	31028	22469
348	31124	22384
349	31216	22297
350	31310	22211
351	31351	22088
352	31398	21969
353	31496	21887
354	31521	21754
355	31613	21667
356	31709	21583
357	31790	21489
358	31876	21399
359	31969	21313
360	32066	21229
361	32157	21142
362	32258	21061
363	32344	20970
364	32431	20880
365	32535	20801
366	32623	20711
367	32726	20631
368	32749	20501
369	32836	20411
370	32933	20328
371	33025	20241
372	33122	20157
373	33216	20072
374	33316	19990
375	33413	19905
376	33506	19819
377	33597	19731
378	33700	19651
379	33797	19566
380	33897	19484
381	34005	19406
382	34101	19320
383	34204	19240
384	34256	19130
385	34350	19043
386	34408	18937
387	34509	18855
388	34604	18769
389	34659	18662
390	34750	18574
391	34842	18487
392	34935	18401
393	34958	18277
394	35044	18187
395	35137	18101
396	35238	18018
397	35330	17931
398	35429	17848
399	35519	17759
400	35618	17675
401	35712	17589
402	35818	17509
403	35913	17423
404	36006	17336
405	36073	17237
406	36166	17149
407	36268	17067
408	36364	16982
409	36463	16897
410	36549	16807
411	36645	16721
412	36740	16635
413	36836	16549
414	36933	16464
415	37020	16374
416	37113	16287
417	37192	16193
418	37289	16108
419	37377	16019
420	37476	15934
421	37573	15848
422	37664	15760
423	37755	15671
424	37841	15581
425	37938	15495
426	38028	15407
427	38115	15317
428	38206	15229
429	38299	15141
430	38390	15053
431	38482	14965
432	38570	14875
433	38666	14789
434	38755	14700
435	38846	14612
436	38936	14523
437	39018	14431
438	39116	14345
439	39211	14258
440	39307	14172
441	39402	14085
442	39491	13995
443	39569	13902
444	39653	13811
445	39750	13725
446	39844	13637
447	39927	13546
448	40002	13453
449	40091	13363
450	40186	13276
451	40280	13189
452	40365	13098
453	40454	13009
454	40548	12922
455	40654	12838
456	40746	12749
457	40838	12661
458	40917	12569
459	41003	12479
460	41090	12389
461	41179	12300
462	41277	12213
463	41373	12126
464	41468	12039
465	41560	11950
466	41663	11865
467	41752	11776
468	41856	11691
469	41943	11601
470	42034	11512
471	42132	11425
472	42224	11337
473	42289	11241
474	42382	11153
475	42479	11066
476	42573	10978
477	42666	10889
478	42758	10801
479	42849	10712
480	42944	10624
481	43037	10536
482	43133	10448
483	43227	10360
484	43321	10272
485	43411	10183
486	43507	10095
487	43600	10006
488	43685	9916
489	43767	9825
490	43861	9737
491	43946	9646
492	44033	9556
493	44112	9465
494	44210	9378
495	44304	9289
496	44400	9201
497	44489	9112
498	44588	9024
499	44673	8934
500	44772	8847
501	44860	8757
502	44952	8668
503	45049	8580
504	45138	8491
505	45231	8402
506	45325	8314
507	45408	8223
508	45496	8133
509	45588	8044
510	45684	7956
511	45768	7866
512	45864	7778
513	45955	7689
514	46051	7600
515	46141	7511
516	46231	7422
517	46325	7333
518	46423	7245
519	46514	7156
520	46614	7068
521	46702	6978
522	46802	6890
523	46889	6800
524	46989	6712
525	47070	6622
526	47158	6532
527	47240	6441
528	47327	6352
529	47407	6261
530	47504	6172
531	47589	6082
532	47688	5994
533	47774	5904
534	47873	5816
535	47959	5726
536	48053	5637
537	48151	5549
538	48240	5459
539	48331	5370
540	48432	5281
541	48523	5192
542	48612	5103
543	48711	5014
544	48806	4925
545	48900	4836
546	48991	4746
547	49086	4657
548	49186	4569
549	49274	4479
550	49369	4390
551	49458	4300
552	49543	4210
553	49625	4120
554	49717	4031
555	49797	3940
556	49906	3852
557	49989	3762
558	50078	3673
559	50178	3584
560	50275	3495
561	50363	3405
562	50453	3315
563	50553	3226
564	50646	3137
565	50741	3048
566	50833	2958
567	50932	2869
568	51027	2780
569	51121	2690
570	51206	2600
571	51301	2511
572	51390	2421
573	51485	2332
574	51578	2242
575	51670	2152
576	51758	2063
577	51852	1973
578	51938	1883
579	52034	1794
580	52133	1704
581	52220	1615
582	52316	1525
583	52414	1436
584	52504	1346
585	52592	1256
586	52672	1166
587	52758	1076
588	52857	987
589	52945	897
590	53047	807
591	53142	718
592	53247	628
593	53335	538
594	53431	449
595	53513	359
596	53598	269
597	53698	179
598	53782	89
599	53877	0
